radians	I
1.003573	13.636680
1.004844	13.578430
1.006114	13.512680
1.007385	13.621380
1.008655	13.529830
1.009926	13.561370
1.011196	13.534780
1.012467	13.893310
1.013738	13.972040
1.015008	13.967630
1.016279	13.946480
1.017549	13.992290
1.018820	14.015380
1.020091	14.030650
1.021361	14.297880
1.022632	14.195640
1.023902	14.342140
1.025173	14.365430
1.026444	14.390560
1.027714	14.301670
1.028985	14.124890
1.030255	14.076240
1.031526	14.369530
1.032796	14.502090
1.034067	14.408300
1.035338	14.345440
1.036608	14.451930
1.037879	14.368740
1.039149	14.319200
1.040420	14.232160
1.041691	14.208470
1.042961	14.334330
1.044232	14.363520
1.045502	14.296310
1.046773	14.081330
1.048044	14.160490
1.049314	14.322940
1.050585	14.436100
1.051855	14.339800
1.053126	14.463200
1.054396	14.818050
1.055667	14.703500
1.056938	15.070820
1.058208	15.135090
1.059479	15.008140
1.060749	15.375540
1.062020	15.467300
1.063291	15.352920
1.064561	15.446570
1.065832	15.469100
1.067102	15.460050
1.068373	15.700500
1.069643	15.659420
1.070914	15.345870
1.072185	15.212650
1.073455	15.074510
1.074726	14.908540
1.075996	14.776330
1.077267	14.708540
1.078538	14.891860
1.079808	15.040330
1.081079	15.020160
1.082349	15.009850
1.083620	15.072720
1.084891	15.270950
1.086161	15.404350
1.087432	15.466090
1.088702	15.551460
1.089973	15.688590
1.091243	15.740090
1.092514	15.789960
1.093785	15.715580
1.095055	15.620180
1.096326	15.435940
1.097596	15.390390
1.098867	15.237140
1.100138	15.137640
1.101408	15.084920
1.102679	15.196020
1.103949	14.885480
1.105220	14.860620
1.106491	15.075520
1.107761	14.978810
1.109032	15.014950
1.110302	15.135540
1.111573	15.367370
1.112843	15.563840
1.114114	15.610040
1.115385	15.694090
1.116655	15.814890
1.117926	15.768130
1.119196	15.751260
1.120467	15.557470
1.121738	15.360980
1.123008	15.446650
1.124279	15.462940
1.125549	15.415010
1.126820	15.507920
1.128090	15.444460
1.129361	15.503270
1.130632	15.369080
1.131902	15.384770
1.133173	15.504280
1.134443	15.686090
1.135714	15.813510
1.136985	15.812570
1.138255	15.642050
1.139526	15.581890
1.140796	15.832270
1.142067	15.932500
1.143338	16.087260
1.144608	16.174050
1.145879	16.289730
1.147149	16.357640
1.148420	16.433440
1.149690	16.393350
1.150961	16.400390
1.152232	16.460230
1.153502	16.598880
1.154773	16.658740
1.156043	16.459530
1.157314	16.532730
1.158585	16.586950
1.159855	16.409760
1.161126	16.340920
1.162396	16.252520
1.163667	16.049170
1.164938	15.922280
1.166208	16.086890
1.167479	16.000760
1.168749	16.012040
1.170020	15.986190
1.171290	16.315310
1.172561	16.527060
1.173832	16.389690
1.175102	16.466810
1.176373	16.858030
1.177643	16.974930
1.178914	16.963880
1.180185	16.925750
1.181455	16.844990
1.182726	16.865260
1.183996	16.834580
1.185267	16.865970
1.186538	16.914800
1.187808	16.955460
1.189079	16.964230
1.190349	16.793550
1.191620	16.677100
1.192890	16.610160
1.194161	16.581330
1.195432	16.630870
1.196702	16.579180
1.197973	16.806220
1.199243	16.922760
1.200514	16.828670
1.201785	16.727730
1.203055	17.028350
1.204326	17.041350
1.205596	17.107900
1.206867	17.129690
1.208137	17.178960
1.209408	17.208800
1.210679	17.147640
1.211949	16.992870
1.213220	16.944240
1.214490	16.911870
1.215761	16.774810
1.217032	16.687290
1.218302	16.622420
1.219573	16.303410
1.220843	16.422640
1.222114	16.802800
1.223385	16.897310
1.224655	17.069320
1.225926	16.979820
1.227196	17.190750
1.228467	17.455300
1.229737	17.508010
1.231008	17.400160
1.232279	17.447940
1.233549	17.621990
1.234820	17.679610
1.236090	17.661690
1.237361	17.580330
1.238632	17.490350
1.239902	17.389490
1.241173	17.610280
1.242443	17.546190
1.243714	17.629270
1.244985	17.551920
1.246255	17.601080
1.247526	17.609820
1.248796	17.555540
1.250067	17.593330
1.251337	17.577340
1.252608	17.847100
1.253879	17.772010
1.255149	17.807500
1.256420	17.799840
1.257690	17.785380
1.258961	18.003460
1.260232	18.031580
1.261502	18.095110
1.262773	18.153200
1.264043	18.198800
1.265314	18.086290
1.266584	18.099000
1.267855	18.164960
1.269126	18.140520
1.270396	18.269530
1.271667	18.342100
1.272937	18.321740
1.274208	18.407400
1.275479	18.407060
1.276749	18.253940
1.278020	18.195610
1.279290	18.174020
1.280561	18.216920
1.281832	18.286560
1.283102	18.251730
1.284373	18.125960
1.285643	18.114020
1.286914	18.094400
1.288184	18.067960
1.289455	18.236580
1.290726	18.071840
1.291996	18.147640
1.293267	18.072630
1.294537	18.077370
1.295808	18.056520
1.297079	18.014490
1.298349	17.986460
1.299620	17.965360
1.300890	18.032130
1.302161	18.041850
1.303432	18.130530
1.304702	18.147660
1.305973	18.242720
1.307243	18.403610
1.308514	18.239130
1.309784	18.157760
1.311055	18.271730
1.312326	18.167580
1.313596	18.209710
1.314867	18.306150
1.316137	18.439170
1.317408	18.447520
1.318679	18.597010
1.319949	18.325960
1.321220	18.373100
1.322490	18.383860
1.323761	18.488540
1.325031	18.740120
1.326302	18.827130
1.327573	18.968940
1.328843	19.033740
1.330114	19.122010
1.331384	18.964110
1.332655	18.795960
1.333926	18.599090
1.335196	18.666830
1.336467	18.784980
1.337737	18.807890
1.339008	18.735310
1.340279	18.714460
1.341549	18.539180
1.342820	18.343590
1.344090	18.323300
1.345361	18.479340
1.346631	18.363510
1.347902	18.275960
1.349173	18.443960
1.350443	18.603090
1.351714	18.582640
1.352984	18.464640
1.354255	18.500310
1.355526	18.560630
1.356796	18.674340
1.358067	18.762530
1.359337	18.852540
1.360608	18.853730
1.361879	18.945520
1.363149	19.036180
1.364420	18.936490
1.365690	18.920920
1.366961	18.850990
1.368231	18.946640
1.369502	18.920520
1.370773	18.828070
1.372043	18.797950
1.373314	18.641610
1.374584	18.768350
1.375855	18.629630
1.377126	18.581430
1.378396	18.651120
1.379667	18.747870
1.380937	18.757200
1.382208	18.575030
1.383478	18.619530
1.384749	18.776230
1.386020	18.669050
1.387290	18.608510
1.388561	18.600660
1.389831	18.706910
1.391102	18.829580
1.392373	18.810860
1.393643	19.101070
1.394914	19.281680
1.396184	19.347710
1.397455	19.495240
1.398726	19.471680
1.399996	19.566840
1.401267	19.633380
1.402537	19.563140
1.403808	19.558790
1.405078	19.590380
1.406349	19.420510
1.407620	19.388360
1.408890	19.313510
1.410161	19.263090
1.411431	19.291080
1.412702	19.397430
1.413973	19.559490
1.415243	19.670150
1.416514	19.592840
1.417784	19.652500
1.419055	19.781480
1.420326	19.681940
1.421596	19.568280
1.422867	19.533560
1.424137	19.593920
1.425408	19.505870
1.426678	19.574750
1.427949	19.333790
1.429220	19.025100
1.430490	18.898210
1.431761	18.937760
1.433031	18.799290
1.434302	18.771320
1.435573	18.740610
1.436843	18.708810
1.438114	18.785110
1.439384	18.900090
1.440655	18.909360
1.441925	19.129810
1.443196	19.094880
1.444467	19.207610
1.445737	19.340130
1.447008	19.483900
1.448278	19.585450
